date,type,description,key,source_module,observed_from,close_time,status
2000-01-01,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2000-01-02,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2000-01-03,CLOSED,New Year's Day,ca_new_years_day,module:ca_new_years_day,2000-01-01,,CONFIRMED
2000-01-08,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2000-01-09,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2000-01-15,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2000-01-16,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2000-01-22,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2000-01-23,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2000-01-29,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2000-01-30,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2000-02-05,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2000-02-06,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2000-02-12,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2000-02-13,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2000-02-19,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2000-02-20,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2000-02-26,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2000-02-27,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2000-03-04,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2000-03-05,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2000-03-11,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2000-03-12,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2000-03-18,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2000-03-19,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2000-03-25,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2000-03-26,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2000-04-01,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2000-04-02,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2000-04-08,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2000-04-09,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2000-04-15,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2000-04-16,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2000-04-21,CLOSED,Good Friday,ca_good_friday,module:ca_good_friday,,,CONFIRMED
2000-04-22,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2000-04-23,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2000-04-29,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2000-04-30,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2000-05-06,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2000-05-07,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2000-05-13,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2000-05-14,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2000-05-20,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2000-05-21,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2000-05-22,CLOSED,Victoria Day,ca_victoria_day,module:ca_victoria_day,,,CONFIRMED
2000-05-27,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2000-05-28,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2000-06-03,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2000-06-04,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2000-06-10,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2000-06-11,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
2000-06-17,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2000-06-18,WEEKEND,Sunday,weekend,weekend_policy,,,CONFIRMED
