date,type,description,key,source_module,observed_from,close_time,status
2025-01-03,WEEKEND,Friday,weekend,weekend_policy,,,CONFIRMED
2025-01-04,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2025-01-10,WEEKEND,Friday,weekend,weekend_policy,,,CONFIRMED
2025-01-11,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2025-01-17,WEEKEND,Friday,weekend,weekend_policy,,,CONFIRMED
2025-01-18,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2025-01-24,WEEKEND,Friday,weekend,weekend_policy,,,CONFIRMED
2025-01-25,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2025-01-31,WEEKEND,Friday,weekend,weekend_policy,,,CONFIRMED
2025-02-01,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2025-02-07,WEEKEND,Friday,weekend,weekend_policy,,,CONFIRMED
2025-02-08,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2025-02-14,WEEKEND,Friday,weekend,weekend_policy,,,CONFIRMED
2025-02-15,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2025-02-21,WEEKEND,Friday,weekend,weekend_policy,,,CONFIRMED
2025-02-22,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2025-02-28,WEEKEND,Friday,weekend,weekend_policy,,,CONFIRMED
2025-03-01,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2025-03-07,WEEKEND,Friday,weekend,weekend_policy,,,CONFIRMED
2025-03-08,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2025-03-14,CLOSED,Purim,tase_purim_2025,module:tase_scheduled_closures_2025,,,CONFIRMED
2025-03-15,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2025-03-21,WEEKEND,Friday,weekend,weekend_policy,,,CONFIRMED
2025-03-22,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2025-03-28,WEEKEND,Friday,weekend,weekend_policy,,,CONFIRMED
2025-03-29,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2025-04-04,WEEKEND,Friday,weekend,weekend_policy,,,CONFIRMED
2025-04-05,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2025-04-11,WEEKEND,Friday,weekend,weekend_policy,,,CONFIRMED
2025-04-12,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2025-04-13,CLOSED,Passover,tase_passover_2025,module:tase_scheduled_closures_2025,,,CONFIRMED
2025-04-18,CLOSED,Seventh Day of Passover Eve,tase_seventh_passover_eve_2025,module:tase_scheduled_closures_2025,,,CONFIRMED
2025-04-19,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2025-04-25,WEEKEND,Friday,weekend,weekend_policy,,,CONFIRMED
2025-04-26,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
2025-04-30,CLOSED,Memorial Day,tase_memorial_day_2025,module:tase_scheduled_closures_2025,,,CONFIRMED
2025-05-01,CLOSED,Independence Day,tase_independence_day_2025,module:tase_scheduled_closures_2025,,,CONFIRMED
2025-05-02,WEEKEND,Friday,weekend,weekend_policy,,,CONFIRMED
2025-05-03,WEEKEND,Saturday,weekend,weekend_policy,,,CONFIRMED
