date,type,description
2020-01-03,WEEKEND,Friday
2020-01-04,WEEKEND,Saturday
2020-01-10,WEEKEND,Friday
2020-01-11,WEEKEND,Saturday
2020-01-17,WEEKEND,Friday
2020-01-18,WEEKEND,Saturday
2020-01-24,WEEKEND,Friday
2020-01-25,WEEKEND,Saturday
2020-01-31,WEEKEND,Friday
2020-02-01,WEEKEND,Saturday
2020-02-07,WEEKEND,Friday
2020-02-08,WEEKEND,Saturday
2020-02-14,WEEKEND,Friday
2020-02-15,WEEKEND,Saturday
2020-02-21,WEEKEND,Friday
2020-02-22,WEEKEND,Saturday
2020-02-28,WEEKEND,Friday
2020-02-29,WEEKEND,Saturday
2020-03-06,WEEKEND,Friday
2020-03-07,WEEKEND,Saturday
2020-03-13,WEEKEND,Friday
2020-03-14,WEEKEND,Saturday
2020-03-20,WEEKEND,Friday
2020-03-21,WEEKEND,Saturday
2020-03-27,WEEKEND,Friday
2020-03-28,WEEKEND,Saturday
2020-04-03,WEEKEND,Friday
2020-04-04,WEEKEND,Saturday
2020-04-10,WEEKEND,Friday
2020-04-11,WEEKEND,Saturday
2020-04-17,WEEKEND,Friday
2020-04-18,WEEKEND,Saturday
2020-04-24,WEEKEND,Friday
2020-04-25,WEEKEND,Saturday
2020-05-01,WEEKEND,Friday
2020-05-02,WEEKEND,Saturday
2020-05-08,WEEKEND,Friday
2020-05-09,WEEKEND,Saturday
2020-05-15,WEEKEND,Friday
2020-05-16,WEEKEND,Saturday
2020-05-22,WEEKEND,Friday
2020-05-23,WEEKEND,Saturday
2020-05-24,CLOSED,Eid al-Fitr
2020-05-25,CLOSED,Eid al-Fitr
2020-05-26,CLOSED,Eid al-Fitr
2020-05-27,CLOSED,Eid al-Fitr
2020-05-28,CLOSED,Eid al-Fitr
2020-05-29,CLOSED,Eid al-Fitr
2020-05-30,WEEKEND,Saturday
2020-06-05,WEEKEND,Friday
2020-06-06,WEEKEND,Saturday
2020-06-12,WEEKEND,Friday
2020-06-13,WEEKEND,Saturday
2020-06-19,WEEKEND,Friday
