date,type,description
2020-01-01,CLOSED,New Year's Day
2020-01-20,CLOSED,Martin Luther King Jr. Day
2020-02-17,CLOSED,Presidents Day
2020-04-10,CLOSED,Good Friday
2020-05-25,CLOSED,Memorial Day
2020-06-19,CLOSED,Juneteenth National Independence Day
2020-07-04,CLOSED,Independence Day
2020-09-07,CLOSED,Labor Day
2020-11-26,CLOSED,Thanksgiving Day
2020-12-25,CLOSED,Christmas Day
2021-01-01,CLOSED,New Year's Day
2021-01-18,CLOSED,Martin Luther King Jr. Day
2021-02-15,CLOSED,Presidents Day
2021-04-02,CLOSED,Good Friday
2021-05-31,CLOSED,Memorial Day
2021-06-19,CLOSED,Juneteenth National Independence Day
2021-07-04,CLOSED,Independence Day
2021-09-06,CLOSED,Labor Day
2021-11-25,CLOSED,Thanksgiving Day
2021-12-25,CLOSED,Christmas Day
2022-01-01,CLOSED,New Year's Day
2022-01-17,CLOSED,Martin Luther King Jr. Day
2022-02-21,CLOSED,Presidents Day
2022-04-15,CLOSED,Good Friday
2022-05-30,CLOSED,Memorial Day
2022-06-19,CLOSED,Juneteenth National Independence Day
2022-07-04,CLOSED,Independence Day
2022-09-05,CLOSED,Labor Day
2022-11-24,CLOSED,Thanksgiving Day
2022-12-25,CLOSED,Christmas Day
2023-01-01,CLOSED,New Year's Day
2023-01-16,CLOSED,Martin Luther King Jr. Day
2023-02-20,CLOSED,Presidents Day
2023-04-07,CLOSED,Good Friday
2023-05-29,CLOSED,Memorial Day
2023-06-19,CLOSED,Juneteenth National Independence Day
2023-07-04,CLOSED,Independence Day
2023-09-04,CLOSED,Labor Day
2023-11-23,CLOSED,Thanksgiving Day
2023-12-25,CLOSED,Christmas Day
2024-01-01,CLOSED,New Year's Day
2024-01-15,CLOSED,Martin Luther King Jr. Day
2024-02-19,CLOSED,Presidents Day
2024-03-29,CLOSED,Good Friday
2024-05-27,CLOSED,Memorial Day
2024-06-19,CLOSED,Juneteenth National Independence Day
2024-07-04,CLOSED,Independence Day
2024-09-02,CLOSED,Labor Day
2024-11-28,CLOSED,Thanksgiving Day
2024-11-29,NOTABLE,Day After Thanksgiving (Early Close)
2024-12-24,NOTABLE,Christmas Eve (Early Close)
2024-12-25,CLOSED,Christmas Day
2025-01-01,CLOSED,New Year's Day
2025-01-20,CLOSED,Martin Luther King Jr. Day
2025-02-17,CLOSED,Presidents Day
2025-04-18,CLOSED,Good Friday
2025-05-26,CLOSED,Memorial Day
2025-06-19,CLOSED,Juneteenth National Independence Day
2025-07-04,CLOSED,Independence Day
2025-09-01,CLOSED,Labor Day
2025-11-27,CLOSED,Thanksgiving Day
2025-12-25,CLOSED,Christmas Day
2026-01-01,CLOSED,New Year's Day
2026-01-19,CLOSED,Martin Luther King Jr. Day
2026-02-16,CLOSED,Presidents Day
2026-04-03,CLOSED,Good Friday
2026-05-25,CLOSED,Memorial Day
2026-06-19,CLOSED,Juneteenth National Independence Day
2026-07-04,CLOSED,Independence Day
2026-09-07,CLOSED,Labor Day
2026-11-26,CLOSED,Thanksgiving Day
2026-12-25,CLOSED,Christmas Day
2027-01-01,CLOSED,New Year's Day
2027-01-18,CLOSED,Martin Luther King Jr. Day
2027-02-15,CLOSED,Presidents Day
2027-03-26,CLOSED,Good Friday
2027-05-31,CLOSED,Memorial Day
2027-06-19,CLOSED,Juneteenth National Independence Day
2027-07-04,CLOSED,Independence Day
2027-09-06,CLOSED,Labor Day
2027-11-25,CLOSED,Thanksgiving Day
2027-12-25,CLOSED,Christmas Day
2028-01-01,CLOSED,New Year's Day
2028-01-17,CLOSED,Martin Luther King Jr. Day
2028-02-21,CLOSED,Presidents Day
2028-04-14,CLOSED,Good Friday
2028-05-29,CLOSED,Memorial Day
2028-06-19,CLOSED,Juneteenth National Independence Day
2028-07-04,CLOSED,Independence Day
2028-09-04,CLOSED,Labor Day
2028-11-23,CLOSED,Thanksgiving Day
2028-12-25,CLOSED,Christmas Day
2029-01-01,CLOSED,New Year's Day
2029-01-15,CLOSED,Martin Luther King Jr. Day
2029-02-19,CLOSED,Presidents Day
2029-03-30,CLOSED,Good Friday
2029-05-28,CLOSED,Memorial Day
2029-06-19,CLOSED,Juneteenth National Independence Day
2029-07-04,CLOSED,Independence Day
2029-09-03,CLOSED,Labor Day
2029-11-22,CLOSED,Thanksgiving Day
2029-12-25,CLOSED,Christmas Day
2030-01-01,CLOSED,New Year's Day
2030-01-21,CLOSED,Martin Luther King Jr. Day
2030-02-18,CLOSED,Presidents Day
2030-04-19,CLOSED,Good Friday
2030-05-27,CLOSED,Memorial Day
2030-06-19,CLOSED,Juneteenth National Independence Day
2030-07-04,CLOSED,Independence Day
2030-09-02,CLOSED,Labor Day
2030-11-28,CLOSED,Thanksgiving Day
2030-12-25,CLOSED,Christmas Day
