date,type,description,key,source_module,observed_from,close_time,status
2003-01-01,CLOSED,New Year's Day,de_xetra_new_years_day,module:de_xetra_new_years_day,,,CONFIRMED
2003-04-18,CLOSED,Good Friday,de_xetra_good_friday,module:de_xetra_good_friday,,,CONFIRMED
2003-04-21,CLOSED,Easter Monday,de_xetra_easter_monday,module:de_xetra_easter_monday,,,CONFIRMED
2003-05-01,CLOSED,Labour Day,de_xetra_labour_day,module:de_xetra_labour_day,,,CONFIRMED
2003-12-24,CLOSED,Christmas Eve,de_xetra_christmas_eve,module:de_xetra_christmas_eve,,,CONFIRMED
2003-12-25,CLOSED,Christmas Day,de_xetra_christmas_day,module:de_xetra_christmas_day,,,CONFIRMED
2003-12-26,CLOSED,Boxing Day,de_xetra_boxing_day,module:de_xetra_boxing_day,,,CONFIRMED
2003-12-31,CLOSED,New Year's Eve,de_xetra_new_years_eve,module:de_xetra_new_years_eve,,,CONFIRMED
2004-01-01,CLOSED,New Year's Day,de_xetra_new_years_day,module:de_xetra_new_years_day,,,CONFIRMED
2004-04-09,CLOSED,Good Friday,de_xetra_good_friday,module:de_xetra_good_friday,,,CONFIRMED
2004-04-12,CLOSED,Easter Monday,de_xetra_easter_monday,module:de_xetra_easter_monday,,,CONFIRMED
2004-05-01,CLOSED,Labour Day,de_xetra_labour_day,module:de_xetra_labour_day,,,CONFIRMED
2004-12-24,CLOSED,Christmas Eve,de_xetra_christmas_eve,module:de_xetra_christmas_eve,,,CONFIRMED
2004-12-25,CLOSED,Christmas Day,de_xetra_christmas_day,module:de_xetra_christmas_day,,,CONFIRMED
2004-12-26,CLOSED,Boxing Day,de_xetra_boxing_day,module:de_xetra_boxing_day,,,CONFIRMED
2004-12-31,CLOSED,New Year's Eve,de_xetra_new_years_eve,module:de_xetra_new_years_eve,,,CONFIRMED
2005-01-01,CLOSED,New Year's Day,de_xetra_new_years_day,module:de_xetra_new_years_day,,,CONFIRMED
2005-03-25,CLOSED,Good Friday,de_xetra_good_friday,module:de_xetra_good_friday,,,CONFIRMED
2005-03-28,CLOSED,Easter Monday,de_xetra_easter_monday,module:de_xetra_easter_monday,,,CONFIRMED
2005-05-01,CLOSED,Labour Day,de_xetra_labour_day,module:de_xetra_labour_day,,,CONFIRMED
2005-12-24,CLOSED,Christmas Eve,de_xetra_christmas_eve,module:de_xetra_christmas_eve,,,CONFIRMED
2005-12-25,CLOSED,Christmas Day,de_xetra_christmas_day,module:de_xetra_christmas_day,,,CONFIRMED
2005-12-26,CLOSED,Boxing Day,de_xetra_boxing_day,module:de_xetra_boxing_day,,,CONFIRMED
2005-12-31,CLOSED,New Year's Eve,de_xetra_new_years_eve,module:de_xetra_new_years_eve,,,CONFIRMED
2006-01-01,CLOSED,New Year's Day,de_xetra_new_years_day,module:de_xetra_new_years_day,,,CONFIRMED
2006-04-14,CLOSED,Good Friday,de_xetra_good_friday,module:de_xetra_good_friday,,,CONFIRMED
2006-04-17,CLOSED,Easter Monday,de_xetra_easter_monday,module:de_xetra_easter_monday,,,CONFIRMED
2006-05-01,CLOSED,Labour Day,de_xetra_labour_day,module:de_xetra_labour_day,,,CONFIRMED
2006-12-24,CLOSED,Christmas Eve,de_xetra_christmas_eve,module:de_xetra_christmas_eve,,,CONFIRMED
2006-12-25,CLOSED,Christmas Day,de_xetra_christmas_day,module:de_xetra_christmas_day,,,CONFIRMED
2006-12-26,CLOSED,Boxing Day,de_xetra_boxing_day,module:de_xetra_boxing_day,,,CONFIRMED
2006-12-31,CLOSED,New Year's Eve,de_xetra_new_years_eve,module:de_xetra_new_years_eve,,,CONFIRMED
2007-01-01,CLOSED,New Year's Day,de_xetra_new_years_day,module:de_xetra_new_years_day,,,CONFIRMED
2007-04-06,CLOSED,Good Friday,de_xetra_good_friday,module:de_xetra_good_friday,,,CONFIRMED
2007-04-09,CLOSED,Easter Monday,de_xetra_easter_monday,module:de_xetra_easter_monday,,,CONFIRMED
2007-05-01,CLOSED,Labour Day,de_xetra_labour_day,module:de_xetra_labour_day,,,CONFIRMED
2007-05-28,CLOSED,Whit Monday,de_xetra_whit_monday,module:de_xetra_whit_monday,,,CONFIRMED
2007-12-24,CLOSED,Christmas Eve,de_xetra_christmas_eve,module:de_xetra_christmas_eve,,,CONFIRMED
2007-12-25,CLOSED,Christmas Day,de_xetra_christmas_day,module:de_xetra_christmas_day,,,CONFIRMED
2007-12-26,CLOSED,Boxing Day,de_xetra_boxing_day,module:de_xetra_boxing_day,,,CONFIRMED
2007-12-31,CLOSED,New Year's Eve,de_xetra_new_years_eve,module:de_xetra_new_years_eve,,,CONFIRMED
2008-01-01,CLOSED,New Year's Day,de_xetra_new_years_day,module:de_xetra_new_years_day,,,CONFIRMED
2008-03-21,CLOSED,Good Friday,de_xetra_good_friday,module:de_xetra_good_friday,,,CONFIRMED
2008-03-24,CLOSED,Easter Monday,de_xetra_easter_monday,module:de_xetra_easter_monday,,,CONFIRMED
2008-05-01,CLOSED,Labour Day,de_xetra_labour_day,module:de_xetra_labour_day,,,CONFIRMED
2008-12-24,CLOSED,Christmas Eve,de_xetra_christmas_eve,module:de_xetra_christmas_eve,,,CONFIRMED
2008-12-25,CLOSED,Christmas Day,de_xetra_christmas_day,module:de_xetra_christmas_day,,,CONFIRMED
2008-12-26,CLOSED,Boxing Day,de_xetra_boxing_day,module:de_xetra_boxing_day,,,CONFIRMED
2008-12-31,CLOSED,New Year's Eve,de_xetra_new_years_eve,module:de_xetra_new_years_eve,,,CONFIRMED
2009-01-01,CLOSED,New Year's Day,de_xetra_new_years_day,module:de_xetra_new_years_day,,,CONFIRMED
2009-04-10,CLOSED,Good Friday,de_xetra_good_friday,module:de_xetra_good_friday,,,CONFIRMED
2009-04-13,CLOSED,Easter Monday,de_xetra_easter_monday,module:de_xetra_easter_monday,,,CONFIRMED
2009-05-01,CLOSED,Labour Day,de_xetra_labour_day,module:de_xetra_labour_day,,,CONFIRMED
2009-12-24,CLOSED,Christmas Eve,de_xetra_christmas_eve,module:de_xetra_christmas_eve,,,CONFIRMED
2009-12-25,CLOSED,Christmas Day,de_xetra_christmas_day,module:de_xetra_christmas_day,,,CONFIRMED
2009-12-26,CLOSED,Boxing Day,de_xetra_boxing_day,module:de_xetra_boxing_day,,,CONFIRMED
2009-12-31,CLOSED,New Year's Eve,de_xetra_new_years_eve,module:de_xetra_new_years_eve,,,CONFIRMED
2010-01-01,CLOSED,New Year's Day,de_xetra_new_years_day,module:de_xetra_new_years_day,,,CONFIRMED
2010-04-02,CLOSED,Good Friday,de_xetra_good_friday,module:de_xetra_good_friday,,,CONFIRMED
2010-04-05,CLOSED,Easter Monday,de_xetra_easter_monday,module:de_xetra_easter_monday,,,CONFIRMED
2010-05-01,CLOSED,Labour Day,de_xetra_labour_day,module:de_xetra_labour_day,,,CONFIRMED
2010-12-24,CLOSED,Christmas Eve,de_xetra_christmas_eve,module:de_xetra_christmas_eve,,,CONFIRMED
2010-12-25,CLOSED,Christmas Day,de_xetra_christmas_day,module:de_xetra_christmas_day,,,CONFIRMED
2010-12-26,CLOSED,Boxing Day,de_xetra_boxing_day,module:de_xetra_boxing_day,,,CONFIRMED
2010-12-31,CLOSED,New Year's Eve,de_xetra_new_years_eve,module:de_xetra_new_years_eve,,,CONFIRMED
2011-01-01,CLOSED,New Year's Day,de_xetra_new_years_day,module:de_xetra_new_years_day,,,CONFIRMED
