date,type,description,key,source_module,observed_from,close_time,status
2000-01-03,CLOSED,New Year's Day,uk_new_years_day,module:uk_new_years_day,2000-01-01,,CONFIRMED
2000-04-21,CLOSED,Good Friday,good_friday,module:uk_good_friday,,,CONFIRMED
2000-04-24,CLOSED,Easter Monday,easter_monday,module:uk_easter_monday,,,CONFIRMED
2000-05-01,CLOSED,Early May Bank Holiday,uk_early_may_bank_holiday,module:uk_early_may_bank_holiday,,,CONFIRMED
2000-05-29,CLOSED,Spring Bank Holiday,uk_spring_bank_holiday,module:uk_spring_bank_holiday,,,CONFIRMED
2000-08-28,CLOSED,Summer Bank Holiday,uk_summer_bank_holiday,module:uk_summer_bank_holiday,,,CONFIRMED
2000-12-22,EARLY_CLOSE,Christmas Eve (Early Close) (24 December 2000 is a Sunday; half day observed the preceding Friday),gb_lse_christmas_eve_early_close_shifted,module:gb_lse_early_closes,,12:30,CONFIRMED
2000-12-25,CLOSED,Christmas Day,uk_christmas_day,module:uk_christmas_day,,,CONFIRMED
2000-12-26,CLOSED,Boxing Day,uk_boxing_day,module:uk_boxing_day,,,CONFIRMED
2000-12-29,EARLY_CLOSE,New Year's Eve (Early Close) (31 December 2000 is a Sunday; half day observed the preceding Friday),gb_lse_new_years_eve_early_close_shifted,module:gb_lse_early_closes,,12:30,CONFIRMED
2001-01-01,CLOSED,New Year's Day,uk_new_years_day,module:uk_new_years_day,,,CONFIRMED
2001-04-13,CLOSED,Good Friday,good_friday,module:uk_good_friday,,,CONFIRMED
2001-04-16,CLOSED,Easter Monday,easter_monday,module:uk_easter_monday,,,CONFIRMED
2001-05-07,CLOSED,Early May Bank Holiday,uk_early_may_bank_holiday,module:uk_early_may_bank_holiday,,,CONFIRMED
2001-05-28,CLOSED,Spring Bank Holiday,uk_spring_bank_holiday,module:uk_spring_bank_holiday,,,CONFIRMED
2001-08-27,CLOSED,Summer Bank Holiday,uk_summer_bank_holiday,module:uk_summer_bank_holiday,,,CONFIRMED
2001-12-24,EARLY_CLOSE,Christmas Eve (Early Close),gb_lse_christmas_eve_early_close,module:gb_lse_early_closes,,12:30,CONFIRMED
2001-12-25,CLOSED,Christmas Day,uk_christmas_day,module:uk_christmas_day,,,CONFIRMED
2001-12-26,CLOSED,Boxing Day,uk_boxing_day,module:uk_boxing_day,,,CONFIRMED
2001-12-31,EARLY_CLOSE,New Year's Eve (Early Close),gb_lse_new_years_eve_early_close,module:gb_lse_early_closes,,12:30,CONFIRMED
