date,type,description,key,source_module,observed_from,close_time,status
2018-01-01,CLOSED,The first day of January,hk_new_years_day,module:hk_new_years_day,,,CONFIRMED
2018-02-15,EARLY_CLOSE,Lunar New Year's Eve (Half Day),hk_hkex_lunar_new_years_eve_early_close,module:hk_hkex_early_closes,,12:00,CONFIRMED
2018-02-16,CLOSED,Lunar New Year,hk_lunar_new_year,module:hk_lunar_new_year,,,CONFIRMED
2018-02-19,CLOSED,Lunar New Year,hk_lunar_new_year,module:hk_lunar_new_year,2018-02-18,,CONFIRMED
2018-03-30,CLOSED,Good Friday,hk_good_friday,module:hk_good_friday,,,CONFIRMED
2018-04-02,CLOSED,Easter Monday,hk_easter_monday,module:hk_easter_monday,,,CONFIRMED
2018-04-05,CLOSED,Ching Ming Festival,hk_ching_ming,module:hk_ching_ming,,,CONFIRMED
2018-05-01,CLOSED,Labour Day,hk_labour_day,module:hk_labour_day,,,CONFIRMED
2018-05-22,CLOSED,The Birthday of the Buddha,hk_buddhas_birthday,module:hk_buddhas_birthday,,,CONFIRMED
2018-06-18,CLOSED,Tuen Ng Festival,hk_tuen_ng,module:hk_tuen_ng,,,CONFIRMED
2018-07-02,CLOSED,Hong Kong Special Administrative Region Establishment Day,hk_hksar_establishment_day,module:hk_hksar_establishment_day,2018-07-01,,CONFIRMED
2018-09-25,CLOSED,The day following the Chinese Mid-Autumn Festival,hk_mid_autumn,module:hk_mid_autumn,,,CONFIRMED
2018-10-01,CLOSED,National Day,hk_national_day,module:hk_national_day,,,CONFIRMED
2018-10-17,CLOSED,Chung Yeung Festival,hk_chung_yeung,module:hk_chung_yeung,,,CONFIRMED
2018-12-24,EARLY_CLOSE,Christmas Eve (Half Day),hk_hkex_christmas_eve_early_close,module:hk_hkex_early_closes,,12:00,CONFIRMED
2018-12-25,CLOSED,Christmas Day,hk_christmas_day,module:hk_christmas,,,CONFIRMED
2018-12-26,CLOSED,The first weekday after Christmas Day,hk_first_weekday_after_christmas,module:hk_christmas,,,CONFIRMED
2018-12-31,EARLY_CLOSE,New Year's Eve (Half Day),hk_hkex_new_years_eve_early_close,module:hk_hkex_early_closes,,12:00,CONFIRMED
2019-01-01,CLOSED,The first day of January,hk_new_years_day,module:hk_new_years_day,,,CONFIRMED
2019-02-04,EARLY_CLOSE,Lunar New Year's Eve (Half Day),hk_hkex_lunar_new_years_eve_early_close,module:hk_hkex_early_closes,,12:00,CONFIRMED
2019-02-05,CLOSED,Lunar New Year,hk_lunar_new_year,module:hk_lunar_new_year,,,CONFIRMED
2019-02-06,CLOSED,Lunar New Year,hk_lunar_new_year,module:hk_lunar_new_year,,,CONFIRMED
2019-02-07,CLOSED,Lunar New Year,hk_lunar_new_year,module:hk_lunar_new_year,,,CONFIRMED
2019-04-05,CLOSED,Ching Ming Festival,hk_ching_ming,module:hk_ching_ming,,,CONFIRMED
2019-04-19,CLOSED,Good Friday,hk_good_friday,module:hk_good_friday,,,CONFIRMED
2019-04-22,CLOSED,Easter Monday,hk_easter_monday,module:hk_easter_monday,,,CONFIRMED
2019-05-01,CLOSED,Labour Day,hk_labour_day,module:hk_labour_day,,,CONFIRMED
2019-05-13,CLOSED,The Birthday of the Buddha,hk_buddhas_birthday,module:hk_buddhas_birthday,2019-05-12,,CONFIRMED
2019-06-07,CLOSED,Tuen Ng Festival,hk_tuen_ng,module:hk_tuen_ng,,,CONFIRMED
2019-07-01,CLOSED,Hong Kong Special Administrative Region Establishment Day,hk_hksar_establishment_day,module:hk_hksar_establishment_day,,,CONFIRMED
2019-10-01,CLOSED,National Day,hk_national_day,module:hk_national_day,,,CONFIRMED
2019-10-07,CLOSED,Chung Yeung Festival,hk_chung_yeung,module:hk_chung_yeung,,,CONFIRMED
2019-12-24,EARLY_CLOSE,Christmas Eve (Half Day),hk_hkex_christmas_eve_early_close,module:hk_hkex_early_closes,,12:00,CONFIRMED
2019-12-25,CLOSED,Christmas Day,hk_christmas_day,module:hk_christmas,,,CONFIRMED
2019-12-26,CLOSED,The first weekday after Christmas Day,hk_first_weekday_after_christmas,module:hk_christmas,,,CONFIRMED
2019-12-31,EARLY_CLOSE,New Year's Eve (Half Day),hk_hkex_new_years_eve_early_close,module:hk_hkex_early_closes,,12:00,CONFIRMED
2020-01-01,CLOSED,The first day of January,hk_new_years_day,module:hk_new_years_day,,,CONFIRMED
2020-01-24,EARLY_CLOSE,Lunar New Year's Eve (Half Day),hk_hkex_lunar_new_years_eve_early_close,module:hk_hkex_early_closes,,12:00,CONFIRMED
2020-01-27,CLOSED,Lunar New Year,hk_lunar_new_year,module:hk_lunar_new_year,,,CONFIRMED
2020-01-28,CLOSED,Lunar New Year,hk_lunar_new_year,module:hk_lunar_new_year,2020-01-26,,CONFIRMED
2020-04-10,CLOSED,Good Friday,hk_good_friday,module:hk_good_friday,,,CONFIRMED
2020-04-13,CLOSED,Easter Monday,hk_easter_monday,module:hk_easter_monday,,,CONFIRMED
2020-04-30,CLOSED,The Birthday of the Buddha,hk_buddhas_birthday,module:hk_buddhas_birthday,,,CONFIRMED
2020-05-01,CLOSED,Labour Day,hk_labour_day,module:hk_labour_day,,,CONFIRMED
2020-06-25,CLOSED,Tuen Ng Festival,hk_tuen_ng,module:hk_tuen_ng,,,CONFIRMED
2020-07-01,CLOSED,Hong Kong Special Administrative Region Establishment Day,hk_hksar_establishment_day,module:hk_hksar_establishment_day,,,CONFIRMED
2020-10-01,CLOSED,National Day,hk_national_day,module:hk_national_day,,,CONFIRMED
2020-10-02,CLOSED,The day following the Chinese Mid-Autumn Festival,hk_mid_autumn,module:hk_mid_autumn,,,CONFIRMED
2020-10-26,CLOSED,Chung Yeung Festival,hk_chung_yeung,module:hk_chung_yeung,2020-10-25,,CONFIRMED
2020-12-24,EARLY_CLOSE,Christmas Eve (Half Day),hk_hkex_christmas_eve_early_close,module:hk_hkex_early_closes,,12:00,CONFIRMED
2020-12-25,CLOSED,Christmas Day,hk_christmas_day,module:hk_christmas,,,CONFIRMED
2020-12-31,EARLY_CLOSE,New Year's Eve (Half Day),hk_hkex_new_years_eve_early_close,module:hk_hkex_early_closes,,12:00,CONFIRMED
2021-01-01,CLOSED,The first day of January,hk_new_years_day,module:hk_new_years_day,,,CONFIRMED
2021-02-11,EARLY_CLOSE,Lunar New Year's Eve (Half Day),hk_hkex_lunar_new_years_eve_early_close,module:hk_hkex_early_closes,,12:00,CONFIRMED
2021-02-12,CLOSED,Lunar New Year,hk_lunar_new_year,module:hk_lunar_new_year,,,CONFIRMED
2021-02-15,CLOSED,Lunar New Year,hk_lunar_new_year,module:hk_lunar_new_year,2021-02-14,,CONFIRMED
2021-04-02,CLOSED,Good Friday,hk_good_friday,module:hk_good_friday,,,CONFIRMED
2021-04-05,CLOSED,Ching Ming Festival,hk_ching_ming,module:hk_ching_ming,2021-04-04,,CONFIRMED
2021-04-06,CLOSED,The day following Easter Monday (Ching Ming Sunday 4 April observed Monday 5 April; Easter Monday moved on),hk_day_following_easter_monday,module:hk_easter_monday,,,CONFIRMED
