date,type,description,key,source_module,observed_from,close_time,status
2010-01-01,CLOSED,New Year's Day,jp_new_years_day,module:jp_new_years_day,,,CONFIRMED
2010-01-11,CLOSED,Coming of Age Day,jp_coming_of_age_day,module:jp_coming_of_age_day,,,CONFIRMED
2010-02-11,CLOSED,National Foundation Day,jp_national_foundation_day,module:jp_national_foundation_day,,,CONFIRMED
2010-03-22,CLOSED,Vernal Equinox Day,jp_vernal_equinox_day,module:jp_vernal_equinox_day,2010-03-21,,CONFIRMED
2010-04-29,CLOSED,Showa Day,jp_showa_day,module:jp_showa_day,,,CONFIRMED
2010-05-03,CLOSED,Constitution Memorial Day,jp_constitution_memorial_day,module:jp_constitution_memorial_day,,,CONFIRMED
2010-05-04,CLOSED,Greenery Day,jp_greenery_day,module:jp_greenery_day,,,CONFIRMED
2010-05-05,CLOSED,Children's Day,jp_childrens_day,module:jp_childrens_day,,,CONFIRMED
2010-07-19,CLOSED,Marine Day,jp_marine_day,module:jp_marine_day,,,CONFIRMED
2010-09-20,CLOSED,Respect for the Aged Day,jp_respect_for_the_aged_day,module:jp_respect_for_the_aged_day,,,CONFIRMED
2010-09-23,CLOSED,Autumnal Equinox Day,jp_autumnal_equinox_day,module:jp_autumnal_equinox_day,,,CONFIRMED
2010-10-11,CLOSED,Health and Sports Day,jp_health_and_sports_day,module:jp_sports_day,,,CONFIRMED
2010-11-03,CLOSED,Culture Day,jp_culture_day,module:jp_culture_day,,,CONFIRMED
2010-11-23,CLOSED,Labor Thanksgiving Day,jp_labour_thanksgiving_day,module:jp_labour_thanksgiving_day,,,CONFIRMED
2010-12-23,CLOSED,Emperor's Birthday,jp_emperors_birthday_akihito,module:jp_emperors_birthday,,,CONFIRMED
2010-12-31,CLOSED,Market Holiday (year end),jp_jpx_year_end_market_holiday,module:jp_jpx_market_holidays,,,CONFIRMED
2011-01-03,CLOSED,Market Holiday (New Year),jp_jpx_new_year_market_holiday,module:jp_jpx_market_holidays,,,CONFIRMED
2011-01-10,CLOSED,Coming of Age Day,jp_coming_of_age_day,module:jp_coming_of_age_day,,,CONFIRMED
2011-02-11,CLOSED,National Foundation Day,jp_national_foundation_day,module:jp_national_foundation_day,,,CONFIRMED
2011-03-21,CLOSED,Vernal Equinox Day,jp_vernal_equinox_day,module:jp_vernal_equinox_day,,,CONFIRMED
2011-04-29,CLOSED,Showa Day,jp_showa_day,module:jp_showa_day,,,CONFIRMED
2011-05-03,CLOSED,Constitution Memorial Day,jp_constitution_memorial_day,module:jp_constitution_memorial_day,,,CONFIRMED
2011-05-04,CLOSED,Greenery Day,jp_greenery_day,module:jp_greenery_day,,,CONFIRMED
2011-05-05,CLOSED,Children's Day,jp_childrens_day,module:jp_childrens_day,,,CONFIRMED
2011-07-18,CLOSED,Marine Day,jp_marine_day,module:jp_marine_day,,,CONFIRMED
2011-09-19,CLOSED,Respect for the Aged Day,jp_respect_for_the_aged_day,module:jp_respect_for_the_aged_day,,,CONFIRMED
2011-09-23,CLOSED,Autumnal Equinox Day,jp_autumnal_equinox_day,module:jp_autumnal_equinox_day,,,CONFIRMED
2011-10-10,CLOSED,Health and Sports Day,jp_health_and_sports_day,module:jp_sports_day,,,CONFIRMED
2011-11-03,CLOSED,Culture Day,jp_culture_day,module:jp_culture_day,,,CONFIRMED
2011-11-23,CLOSED,Labor Thanksgiving Day,jp_labour_thanksgiving_day,module:jp_labour_thanksgiving_day,,,CONFIRMED
2011-12-23,CLOSED,Emperor's Birthday,jp_emperors_birthday_akihito,module:jp_emperors_birthday,,,CONFIRMED
2012-01-02,CLOSED,Market Holiday (New Year),jp_jpx_new_year_market_holiday,module:jp_jpx_market_holidays,,,CONFIRMED
2012-01-03,CLOSED,Market Holiday (New Year),jp_jpx_new_year_market_holiday,module:jp_jpx_market_holidays,,,CONFIRMED
2012-01-09,CLOSED,Coming of Age Day,jp_coming_of_age_day,module:jp_coming_of_age_day,,,CONFIRMED
2012-03-20,CLOSED,Vernal Equinox Day,jp_vernal_equinox_day,module:jp_vernal_equinox_day,,,CONFIRMED
2012-04-30,CLOSED,Showa Day,jp_showa_day,module:jp_showa_day,2012-04-29,,CONFIRMED
2012-05-03,CLOSED,Constitution Memorial Day,jp_constitution_memorial_day,module:jp_constitution_memorial_day,,,CONFIRMED
2012-05-04,CLOSED,Greenery Day,jp_greenery_day,module:jp_greenery_day,,,CONFIRMED
2012-07-16,CLOSED,Marine Day,jp_marine_day,module:jp_marine_day,,,CONFIRMED
2012-09-17,CLOSED,Respect for the Aged Day,jp_respect_for_the_aged_day,module:jp_respect_for_the_aged_day,,,CONFIRMED
2012-10-08,CLOSED,Health and Sports Day,jp_health_and_sports_day,module:jp_sports_day,,,CONFIRMED
2012-11-23,CLOSED,Labor Thanksgiving Day,jp_labour_thanksgiving_day,module:jp_labour_thanksgiving_day,,,CONFIRMED
2012-12-24,CLOSED,Emperor's Birthday,jp_emperors_birthday_akihito,module:jp_emperors_birthday,2012-12-23,,CONFIRMED
2012-12-31,CLOSED,Market Holiday (year end),jp_jpx_year_end_market_holiday,module:jp_jpx_market_holidays,,,CONFIRMED
2013-01-01,CLOSED,New Year's Day,jp_new_years_day,module:jp_new_years_day,,,CONFIRMED
2013-01-02,CLOSED,Market Holiday (New Year),jp_jpx_new_year_market_holiday,module:jp_jpx_market_holidays,,,CONFIRMED
2013-01-03,CLOSED,Market Holiday (New Year),jp_jpx_new_year_market_holiday,module:jp_jpx_market_holidays,,,CONFIRMED
2013-01-14,CLOSED,Coming of Age Day,jp_coming_of_age_day,module:jp_coming_of_age_day,,,CONFIRMED
2013-02-11,CLOSED,National Foundation Day,jp_national_foundation_day,module:jp_national_foundation_day,,,CONFIRMED
2013-03-20,CLOSED,Vernal Equinox Day,jp_vernal_equinox_day,module:jp_vernal_equinox_day,,,CONFIRMED
2013-04-29,CLOSED,Showa Day,jp_showa_day,module:jp_showa_day,,,CONFIRMED
2013-05-03,CLOSED,Constitution Memorial Day,jp_constitution_memorial_day,module:jp_constitution_memorial_day,,,CONFIRMED
2013-05-06,CLOSED,Children's Day,jp_childrens_day,module:jp_childrens_day,2013-05-05,,CONFIRMED
2013-07-15,CLOSED,Marine Day,jp_marine_day,module:jp_marine_day,,,CONFIRMED
2013-09-16,CLOSED,Respect for the Aged Day,jp_respect_for_the_aged_day,module:jp_respect_for_the_aged_day,,,CONFIRMED
2013-09-23,CLOSED,Autumnal Equinox Day,jp_autumnal_equinox_day,module:jp_autumnal_equinox_day,,,CONFIRMED
2013-10-14,CLOSED,Health and Sports Day,jp_health_and_sports_day,module:jp_sports_day,,,CONFIRMED
2013-11-04,CLOSED,Culture Day,jp_culture_day,module:jp_culture_day,2013-11-03,,CONFIRMED
2013-12-23,CLOSED,Emperor's Birthday,jp_emperors_birthday_akihito,module:jp_emperors_birthday,,,CONFIRMED
2013-12-31,CLOSED,Market Holiday (year end),jp_jpx_year_end_market_holiday,module:jp_jpx_market_holidays,,,CONFIRMED
2014-01-01,CLOSED,New Year's Day,jp_new_years_day,module:jp_new_years_day,,,CONFIRMED
2014-01-02,CLOSED,Market Holiday (New Year),jp_jpx_new_year_market_holiday,module:jp_jpx_market_holidays,,,CONFIRMED
2014-01-03,CLOSED,Market Holiday (New Year),jp_jpx_new_year_market_holiday,module:jp_jpx_market_holidays,,,CONFIRMED
2014-01-13,CLOSED,Coming of Age Day,jp_coming_of_age_day,module:jp_coming_of_age_day,,,CONFIRMED
2014-02-11,CLOSED,National Foundation Day,jp_national_foundation_day,module:jp_national_foundation_day,,,CONFIRMED
2014-03-21,CLOSED,Vernal Equinox Day,jp_vernal_equinox_day,module:jp_vernal_equinox_day,,,CONFIRMED
2014-04-29,CLOSED,Showa Day,jp_showa_day,module:jp_showa_day,,,CONFIRMED
2014-05-05,CLOSED,Children's Day,jp_childrens_day,module:jp_childrens_day,,,CONFIRMED
2014-05-06,CLOSED,Greenery Day,jp_greenery_day,module:jp_greenery_day,2014-05-04,,CONFIRMED
2014-07-21,CLOSED,Marine Day,jp_marine_day,module:jp_marine_day,,,CONFIRMED
2014-09-15,CLOSED,Respect for the Aged Day,jp_respect_for_the_aged_day,module:jp_respect_for_the_aged_day,,,CONFIRMED
2014-09-23,CLOSED,Autumnal Equinox Day,jp_autumnal_equinox_day,module:jp_autumnal_equinox_day,,,CONFIRMED
2014-10-13,CLOSED,Health and Sports Day,jp_health_and_sports_day,module:jp_sports_day,,,CONFIRMED
2014-11-03,CLOSED,Culture Day,jp_culture_day,module:jp_culture_day,,,CONFIRMED
2014-11-24,CLOSED,Labor Thanksgiving Day,jp_labour_thanksgiving_day,module:jp_labour_thanksgiving_day,2014-11-23,,CONFIRMED
2014-12-23,CLOSED,Emperor's Birthday,jp_emperors_birthday_akihito,module:jp_emperors_birthday,,,CONFIRMED
2014-12-31,CLOSED,Market Holiday (year end),jp_jpx_year_end_market_holiday,module:jp_jpx_market_holidays,,,CONFIRMED
2015-01-01,CLOSED,New Year's Day,jp_new_years_day,module:jp_new_years_day,,,CONFIRMED
2015-01-02,CLOSED,Market Holiday (New Year),jp_jpx_new_year_market_holiday,module:jp_jpx_market_holidays,,,CONFIRMED
2015-01-12,CLOSED,Coming of Age Day,jp_coming_of_age_day,module:jp_coming_of_age_day,,,CONFIRMED
2015-02-11,CLOSED,National Foundation Day,jp_national_foundation_day,module:jp_national_foundation_day,,,CONFIRMED
2015-04-29,CLOSED,Showa Day,jp_showa_day,module:jp_showa_day,,,CONFIRMED
2015-05-04,CLOSED,Greenery Day,jp_greenery_day,module:jp_greenery_day,,,CONFIRMED
2015-05-05,CLOSED,Children's Day,jp_childrens_day,module:jp_childrens_day,,,CONFIRMED
2015-05-06,CLOSED,Constitution Memorial Day,jp_constitution_memorial_day,module:jp_constitution_memorial_day,2015-05-03,,CONFIRMED
2015-07-20,CLOSED,Marine Day,jp_marine_day,module:jp_marine_day,,,CONFIRMED
2015-09-21,CLOSED,Respect for the Aged Day,jp_respect_for_the_aged_day,module:jp_respect_for_the_aged_day,,,CONFIRMED
2015-09-22,CLOSED,Citizens' Holiday (between Respect for the Aged Day and Autumnal Equinox Day),jp_citizens_holiday,module:jp_citizens_holidays,,,CONFIRMED
2015-09-23,CLOSED,Autumnal Equinox Day,jp_autumnal_equinox_day,module:jp_autumnal_equinox_day,,,CONFIRMED
2015-10-12,CLOSED,Health and Sports Day,jp_health_and_sports_day,module:jp_sports_day,,,CONFIRMED
2015-11-03,CLOSED,Culture Day,jp_culture_day,module:jp_culture_day,,,CONFIRMED
2015-11-23,CLOSED,Labor Thanksgiving Day,jp_labour_thanksgiving_day,module:jp_labour_thanksgiving_day,,,CONFIRMED
2015-12-23,CLOSED,Emperor's Birthday,jp_emperors_birthday_akihito,module:jp_emperors_birthday,,,CONFIRMED
2015-12-31,CLOSED,Market Holiday (year end),jp_jpx_year_end_market_holiday,module:jp_jpx_market_holidays,,,CONFIRMED
2016-01-01,CLOSED,New Year's Day,jp_new_years_day,module:jp_new_years_day,,,CONFIRMED
2016-01-11,CLOSED,Coming of Age Day,jp_coming_of_age_day,module:jp_coming_of_age_day,,,CONFIRMED
2016-02-11,CLOSED,National Foundation Day,jp_national_foundation_day,module:jp_national_foundation_day,,,CONFIRMED
2016-03-21,CLOSED,Vernal Equinox Day,jp_vernal_equinox_day,module:jp_vernal_equinox_day,2016-03-20,,CONFIRMED
2016-04-29,CLOSED,Showa Day,jp_showa_day,module:jp_showa_day,,,CONFIRMED
2016-05-03,CLOSED,Constitution Memorial Day,jp_constitution_memorial_day,module:jp_constitution_memorial_day,,,CONFIRMED
2016-05-04,CLOSED,Greenery Day,jp_greenery_day,module:jp_greenery_day,,,CONFIRMED
2016-05-05,CLOSED,Children's Day,jp_childrens_day,module:jp_childrens_day,,,CONFIRMED
2016-07-18,CLOSED,Marine Day,jp_marine_day,module:jp_marine_day,,,CONFIRMED
2016-08-11,CLOSED,Mountain Day,jp_mountain_day,module:jp_mountain_day,,,CONFIRMED
2016-09-19,CLOSED,Respect for the Aged Day,jp_respect_for_the_aged_day,module:jp_respect_for_the_aged_day,,,CONFIRMED
2016-09-22,CLOSED,Autumnal Equinox Day,jp_autumnal_equinox_day,module:jp_autumnal_equinox_day,,,CONFIRMED
2016-10-10,CLOSED,Health and Sports Day,jp_health_and_sports_day,module:jp_sports_day,,,CONFIRMED
2016-11-03,CLOSED,Culture Day,jp_culture_day,module:jp_culture_day,,,CONFIRMED
2016-11-23,CLOSED,Labor Thanksgiving Day,jp_labour_thanksgiving_day,module:jp_labour_thanksgiving_day,,,CONFIRMED
2016-12-23,CLOSED,Emperor's Birthday,jp_emperors_birthday_akihito,module:jp_emperors_birthday,,,CONFIRMED
2017-01-02,CLOSED,Market Holiday (New Year),jp_jpx_new_year_market_holiday,module:jp_jpx_market_holidays,,,CONFIRMED
2017-01-03,CLOSED,Market Holiday (New Year),jp_jpx_new_year_market_holiday,module:jp_jpx_market_holidays,,,CONFIRMED
2017-01-09,CLOSED,Coming of Age Day,jp_coming_of_age_day,module:jp_coming_of_age_day,,,CONFIRMED
2017-03-20,CLOSED,Vernal Equinox Day,jp_vernal_equinox_day,module:jp_vernal_equinox_day,,,CONFIRMED
2017-05-03,CLOSED,Constitution Memorial Day,jp_constitution_memorial_day,module:jp_constitution_memorial_day,,,CONFIRMED
2017-05-04,CLOSED,Greenery Day,jp_greenery_day,module:jp_greenery_day,,,CONFIRMED
2017-05-05,CLOSED,Children's Day,jp_childrens_day,module:jp_childrens_day,,,CONFIRMED
