date,type,description,key,source_module,observed_from,close_time,status
2010-01-01,CLOSED,New Year's Day,euronext_new_years_day,module:euronext_new_years_day,,,CONFIRMED
2010-04-02,CLOSED,Good Friday,euronext_good_friday,module:euronext_good_friday,,,CONFIRMED
2010-04-05,CLOSED,Easter Monday,euronext_easter_monday,module:euronext_easter_monday,,,CONFIRMED
2010-05-01,CLOSED,Labour Day,euronext_labour_day,module:euronext_labour_day,,,CONFIRMED
2010-12-24,EARLY_CLOSE,Christmas Eve (half trading day),euronext_christmas_eve,module:euronext_christmas_eve_lisbon,,13:00,CONFIRMED
2010-12-25,CLOSED,Christmas Day,euronext_christmas,module:euronext_christmas,,,CONFIRMED
2010-12-26,CLOSED,Boxing Day,euronext_boxing_day,module:euronext_boxing_day,,,CONFIRMED
2010-12-31,EARLY_CLOSE,New Year's Eve (half trading day),euronext_new_years_eve,module:euronext_new_years_eve_lisbon,,13:00,CONFIRMED
2011-01-01,CLOSED,New Year's Day,euronext_new_years_day,module:euronext_new_years_day,,,CONFIRMED
2011-04-22,CLOSED,Good Friday,euronext_good_friday,module:euronext_good_friday,,,CONFIRMED
2011-04-25,CLOSED,Easter Monday,euronext_easter_monday,module:euronext_easter_monday,,,CONFIRMED
2011-05-01,CLOSED,Labour Day,euronext_labour_day,module:euronext_labour_day,,,CONFIRMED
2011-12-25,CLOSED,Christmas Day,euronext_christmas,module:euronext_christmas,,,CONFIRMED
2011-12-26,CLOSED,Boxing Day,euronext_boxing_day,module:euronext_boxing_day,,,CONFIRMED
2012-01-01,CLOSED,New Year's Day,euronext_new_years_day,module:euronext_new_years_day,,,CONFIRMED
2012-04-06,CLOSED,Good Friday,euronext_good_friday,module:euronext_good_friday,,,CONFIRMED
2012-04-09,CLOSED,Easter Monday,euronext_easter_monday,module:euronext_easter_monday,,,CONFIRMED
2012-05-01,CLOSED,Labour Day,euronext_labour_day,module:euronext_labour_day,,,CONFIRMED
2012-12-24,EARLY_CLOSE,Christmas Eve (half trading day),euronext_christmas_eve,module:euronext_christmas_eve_lisbon,,13:00,CONFIRMED
2012-12-25,CLOSED,Christmas Day,euronext_christmas,module:euronext_christmas,,,CONFIRMED
2012-12-26,CLOSED,Boxing Day,euronext_boxing_day,module:euronext_boxing_day,,,CONFIRMED
2012-12-31,EARLY_CLOSE,New Year's Eve (half trading day),euronext_new_years_eve,module:euronext_new_years_eve_lisbon,,13:00,CONFIRMED
