date,type,description,key,source_module,observed_from,close_time,status
1900-01-01,CLOSED,New Year's Day,new_years_day,module:new_years_day,,,CONFIRMED
1900-02-12,CLOSED,Lincoln's Birthday,lincolns_birthday,module:lincolns_birthday,,,CONFIRMED
1900-02-22,CLOSED,Washington's Birthday,washingtons_birthday,module:washingtons_birthday,,,CONFIRMED
1900-05-30,CLOSED,Decoration Day,decoration_day,module:decoration_day,,,CONFIRMED
1900-07-04,CLOSED,Independence Day,independence_day_pre1959,module:independence_day,,,CONFIRMED
1900-09-03,CLOSED,Labor Day,labor_day,module:labor_day,,,CONFIRMED
1900-11-29,CLOSED,Thanksgiving Day,thanksgiving_pre1940,module:thanksgiving,,,CONFIRMED
1900-12-25,CLOSED,Christmas Day,christmas_pre1959,module:christmas,,,CONFIRMED
1901-01-01,CLOSED,New Year's Day,new_years_day,module:new_years_day,,,CONFIRMED
1901-02-12,CLOSED,Lincoln's Birthday,lincolns_birthday,module:lincolns_birthday,,,CONFIRMED
1901-02-22,CLOSED,Washington's Birthday,washingtons_birthday,module:washingtons_birthday,,,CONFIRMED
1901-05-30,CLOSED,Decoration Day,decoration_day,module:decoration_day,,,CONFIRMED
1901-07-04,CLOSED,Independence Day,independence_day_pre1959,module:independence_day,,,CONFIRMED
1901-09-02,CLOSED,Labor Day,labor_day,module:labor_day,,,CONFIRMED
1901-11-28,CLOSED,Thanksgiving Day,thanksgiving_pre1940,module:thanksgiving,,,CONFIRMED
1901-12-25,CLOSED,Christmas Day,christmas_pre1959,module:christmas,,,CONFIRMED
1902-01-01,CLOSED,New Year's Day,new_years_day,module:new_years_day,,,CONFIRMED
1902-02-12,CLOSED,Lincoln's Birthday,lincolns_birthday,module:lincolns_birthday,,,CONFIRMED
1902-05-30,CLOSED,Decoration Day,decoration_day,module:decoration_day,,,CONFIRMED
1902-07-04,CLOSED,Independence Day,independence_day_pre1959,module:independence_day,,,CONFIRMED
1902-09-01,CLOSED,Labor Day,labor_day,module:labor_day,,,CONFIRMED
1902-11-27,CLOSED,Thanksgiving Day,thanksgiving_pre1940,module:thanksgiving,,,CONFIRMED
1902-12-25,CLOSED,Christmas Day,christmas_pre1959,module:christmas,,,CONFIRMED
1903-01-01,CLOSED,New Year's Day,new_years_day,module:new_years_day,,,CONFIRMED
1903-02-12,CLOSED,Lincoln's Birthday,lincolns_birthday,module:lincolns_birthday,,,CONFIRMED
1903-02-23,CLOSED,Washington's Birthday,washingtons_birthday,module:washingtons_birthday,1903-02-22,,CONFIRMED
1903-09-07,CLOSED,Labor Day,labor_day,module:labor_day,,,CONFIRMED
1903-11-26,CLOSED,Thanksgiving Day,thanksgiving_pre1940,module:thanksgiving,,,CONFIRMED
1903-12-25,CLOSED,Christmas Day,christmas_pre1959,module:christmas,,,CONFIRMED
1904-01-01,CLOSED,New Year's Day,new_years_day,module:new_years_day,,,CONFIRMED
1904-02-12,CLOSED,Lincoln's Birthday,lincolns_birthday,module:lincolns_birthday,,,CONFIRMED
1904-02-22,CLOSED,Washington's Birthday,washingtons_birthday,module:washingtons_birthday,,,CONFIRMED
1904-05-30,CLOSED,Decoration Day,decoration_day,module:decoration_day,,,CONFIRMED
1904-07-04,CLOSED,Independence Day,independence_day_pre1959,module:independence_day,,,CONFIRMED
1904-09-05,CLOSED,Labor Day,labor_day,module:labor_day,,,CONFIRMED
1904-11-24,CLOSED,Thanksgiving Day,thanksgiving_pre1940,module:thanksgiving,,,CONFIRMED
1904-12-26,CLOSED,Christmas Day,christmas_pre1959,module:christmas,1904-12-25,,CONFIRMED
1905-01-02,CLOSED,New Year's Day,new_years_day,module:new_years_day,1905-01-01,,CONFIRMED
1905-02-13,CLOSED,Lincoln's Birthday,lincolns_birthday,module:lincolns_birthday,1905-02-12,,CONFIRMED
1905-02-22,CLOSED,Washington's Birthday,washingtons_birthday,module:washingtons_birthday,,,CONFIRMED
1905-05-30,CLOSED,Decoration Day,decoration_day,module:decoration_day,,,CONFIRMED
1905-07-04,CLOSED,Independence Day,independence_day_pre1959,module:independence_day,,,CONFIRMED
1905-09-04,CLOSED,Labor Day,labor_day,module:labor_day,,,CONFIRMED
1905-11-30,CLOSED,Thanksgiving Day,thanksgiving_pre1940,module:thanksgiving,,,CONFIRMED
