date,type,description,key,source_module,observed_from,close_time,status
1900-01-01,CLOSED,New Year's Day,new_years_day,module:new_years_day,,,CONFIRMED
1900-02-12,CLOSED,Lincoln's Birthday,lincolns_birthday,module:lincolns_birthday,,,CONFIRMED
1900-02-22,CLOSED,Washington's Birthday,washingtons_birthday,module:washingtons_birthday,,,CONFIRMED
1900-04-13,CLOSED,Good Friday,good_friday,module:good_friday,,,CONFIRMED
1900-04-14,CLOSED,Saturday After Good Friday,special_saturday_after_good_friday,module:us_nyse_special_closings_pre1960,,,CONFIRMED
1900-05-30,CLOSED,Decoration Day,decoration_day,module:decoration_day,,,CONFIRMED
1900-07-04,CLOSED,Independence Day,independence_day_pre1959,module:independence_day,,,CONFIRMED
1900-09-01,CLOSED,Saturday Before Labor Day,special_saturday_before_labor_day,module:us_nyse_special_closings_pre1960,,,CONFIRMED
1900-09-03,CLOSED,Labor Day,labor_day,module:labor_day,,,CONFIRMED
1900-11-06,CLOSED,Election Day,election_day_closures,module:us_historical_closures,,,CONFIRMED
1900-11-29,CLOSED,Thanksgiving Day,thanksgiving_pre1940,module:thanksgiving,,,CONFIRMED
1900-12-24,CLOSED,Christmas Eve,special_christmas_eve,module:us_nyse_special_closings_pre1960,,,CONFIRMED
1900-12-25,CLOSED,Christmas Day,christmas_pre1959,module:christmas,,,CONFIRMED
1901-01-01,CLOSED,New Year's Day,new_years_day,module:new_years_day,,,CONFIRMED
1901-02-02,CLOSED,Special Event (Funeral of Queen Victoria),special_events,module:us_historical_closures,,,CONFIRMED
1901-02-12,CLOSED,Lincoln's Birthday,lincolns_birthday,module:lincolns_birthday,,,CONFIRMED
1901-02-22,CLOSED,Washington's Birthday,washingtons_birthday,module:washingtons_birthday,,,CONFIRMED
1901-04-05,CLOSED,Good Friday,good_friday,module:good_friday,,,CONFIRMED
1901-04-06,CLOSED,Saturday After Good Friday,special_saturday_after_good_friday,module:us_nyse_special_closings_pre1960,,,CONFIRMED
1901-04-27,CLOSED,Special Event (Move to Temporary Quarters),special_events,module:us_historical_closures,,,CONFIRMED
1901-05-11,CLOSED,Special Event (Enlargement of Temporary Quarters),special_events,module:us_historical_closures,,,CONFIRMED
1901-05-30,CLOSED,Decoration Day,decoration_day,module:decoration_day,,,CONFIRMED
1901-07-04,CLOSED,Independence Day,independence_day_pre1959,module:independence_day,,,CONFIRMED
1901-07-05,CLOSED,Holiday Extension (Day After Independence Day),holiday_extensions,module:us_historical_closures,,,CONFIRMED
1901-07-06,CLOSED,Saturday After Independence Day,special_saturday_after_independence_day,module:us_nyse_special_closings_pre1960,,,CONFIRMED
1901-08-31,CLOSED,Saturday Before Labor Day,special_saturday_before_labor_day,module:us_nyse_special_closings_pre1960,,,CONFIRMED
1901-09-02,CLOSED,Labor Day,labor_day,module:labor_day,,,CONFIRMED
1901-09-14,CLOSED,Presidential Funeral (William McKinley (assassination)),presidential_funerals,module:us_historical_closures,,,CONFIRMED
1901-09-19,CLOSED,Presidential Funeral (William McKinley),presidential_funerals,module:us_historical_closures,,,CONFIRMED
1901-11-05,CLOSED,Election Day,election_day_closures,module:us_historical_closures,,,CONFIRMED
1901-11-28,CLOSED,Thanksgiving Day,thanksgiving_pre1940,module:thanksgiving,,,CONFIRMED
1901-12-25,CLOSED,Christmas Day,christmas_pre1959,module:christmas,,,CONFIRMED
1902-01-01,CLOSED,New Year's Day,new_years_day,module:new_years_day,,,CONFIRMED
1902-02-12,CLOSED,Lincoln's Birthday,lincolns_birthday,module:lincolns_birthday,,,CONFIRMED
1902-02-21,CLOSED,Washington's Birthday (observed),special_washingtons_birthday_observed,module:us_nyse_special_closings_pre1960,,,CONFIRMED
1902-02-22,CLOSED,Washington's Birthday,washingtons_birthday,module:washingtons_birthday,,,CONFIRMED
1902-03-28,CLOSED,Good Friday,good_friday,module:good_friday,,,CONFIRMED
1902-03-29,CLOSED,Saturday After Good Friday,special_saturday_after_good_friday,module:us_nyse_special_closings_pre1960,,,CONFIRMED
1902-05-30,CLOSED,Decoration Day,decoration_day,module:decoration_day,,,CONFIRMED
1902-05-31,CLOSED,Saturday After Decoration Day,special_saturday_after_decoration_day,module:us_nyse_special_closings_pre1960,,,CONFIRMED
