date,type,description
1970-01-01,CLOSED,New Year's Day
1970-01-03,WEEKEND,Saturday
1970-01-04,WEEKEND,Sunday
1970-01-10,WEEKEND,Saturday
1970-01-11,WEEKEND,Sunday
1970-01-17,WEEKEND,Saturday
1970-01-18,WEEKEND,Sunday
1970-01-24,WEEKEND,Saturday
1970-01-25,WEEKEND,Sunday
1970-01-31,WEEKEND,Saturday
1970-02-01,WEEKEND,Sunday
1970-02-07,WEEKEND,Saturday
1970-02-08,WEEKEND,Sunday
1970-02-14,WEEKEND,Saturday
1970-02-15,WEEKEND,Sunday
1970-02-21,WEEKEND,Saturday
1970-02-22,WEEKEND,Sunday
1970-02-28,WEEKEND,Saturday
1970-03-01,WEEKEND,Sunday
1970-03-07,WEEKEND,Saturday
1970-03-08,WEEKEND,Sunday
1970-03-14,WEEKEND,Saturday
1970-03-15,WEEKEND,Sunday
1970-03-21,WEEKEND,Saturday
1970-03-22,WEEKEND,Sunday
1970-03-28,WEEKEND,Saturday
1970-03-29,WEEKEND,Sunday
1970-04-04,WEEKEND,Saturday
1970-04-05,WEEKEND,Sunday
1970-04-11,WEEKEND,Saturday
1970-04-12,WEEKEND,Sunday
1970-04-18,WEEKEND,Saturday
1970-04-19,WEEKEND,Sunday
1970-04-25,WEEKEND,Saturday
1970-04-26,WEEKEND,Sunday
1970-05-02,WEEKEND,Saturday
1970-05-03,WEEKEND,Sunday
1970-05-09,WEEKEND,Saturday
1970-05-10,WEEKEND,Sunday
1970-05-16,WEEKEND,Saturday
1970-05-17,WEEKEND,Sunday
1970-05-23,WEEKEND,Saturday
1970-05-24,WEEKEND,Sunday
1970-05-30,WEEKEND,Saturday
1970-05-31,WEEKEND,Sunday
1970-06-06,WEEKEND,Saturday
1970-06-07,WEEKEND,Sunday
1970-06-13,WEEKEND,Saturday
1970-06-14,WEEKEND,Sunday
1970-06-20,WEEKEND,Saturday
1970-06-21,WEEKEND,Sunday
1970-06-27,WEEKEND,Saturday
1970-06-28,WEEKEND,Sunday
1970-07-04,CLOSED,Independence Day
1970-07-05,WEEKEND,Sunday
1970-07-11,WEEKEND,Saturday
1970-07-12,WEEKEND,Sunday
1970-07-18,WEEKEND,Saturday
1970-07-19,WEEKEND,Sunday
1970-07-25,WEEKEND,Saturday
1970-07-26,WEEKEND,Sunday
1970-08-01,WEEKEND,Saturday
1970-08-02,WEEKEND,Sunday
1970-08-08,WEEKEND,Saturday
1970-08-09,WEEKEND,Sunday
1970-08-15,WEEKEND,Saturday
1970-08-16,WEEKEND,Sunday
1970-08-22,WEEKEND,Saturday
1970-08-23,WEEKEND,Sunday
1970-08-29,WEEKEND,Saturday
1970-08-30,WEEKEND,Sunday
1970-09-05,WEEKEND,Saturday
1970-09-06,WEEKEND,Sunday
1970-09-07,CLOSED,Labor Day
1970-09-12,WEEKEND,Saturday
1970-09-13,WEEKEND,Sunday
1970-09-19,WEEKEND,Saturday
1970-09-20,WEEKEND,Sunday
1970-09-26,WEEKEND,Saturday
1970-09-27,WEEKEND,Sunday
1970-10-03,WEEKEND,Saturday
1970-10-04,WEEKEND,Sunday
1970-10-10,WEEKEND,Saturday
1970-10-11,WEEKEND,Sunday
1970-10-17,WEEKEND,Saturday
1970-10-18,WEEKEND,Sunday
1970-10-24,WEEKEND,Saturday
1970-10-25,WEEKEND,Sunday
1970-10-31,WEEKEND,Saturday
1970-11-01,WEEKEND,Sunday
1970-11-07,WEEKEND,Saturday
1970-11-08,WEEKEND,Sunday
1970-11-14,WEEKEND,Saturday
1970-11-15,WEEKEND,Sunday
1970-11-21,WEEKEND,Saturday
1970-11-22,WEEKEND,Sunday
1970-11-26,CLOSED,Thanksgiving Day
1970-11-28,WEEKEND,Saturday
1970-11-29,WEEKEND,Sunday
1970-12-05,WEEKEND,Saturday
1970-12-06,WEEKEND,Sunday
1970-12-12,WEEKEND,Saturday
1970-12-13,WEEKEND,Sunday
1970-12-19,WEEKEND,Saturday
1970-12-20,WEEKEND,Sunday
1970-12-25,CLOSED,Christmas Day
1970-12-26,WEEKEND,Saturday
1970-12-27,WEEKEND,Sunday
1971-01-01,CLOSED,New Year's Day
1971-01-02,WEEKEND,Saturday
1971-01-03,WEEKEND,Sunday
1971-01-09,WEEKEND,Saturday
1971-01-10,WEEKEND,Sunday
1971-01-16,WEEKEND,Saturday
1971-01-17,WEEKEND,Sunday
1971-01-23,WEEKEND,Saturday
1971-01-24,WEEKEND,Sunday
1971-01-30,WEEKEND,Saturday
1971-01-31,WEEKEND,Sunday
1971-02-06,WEEKEND,Saturday
1971-02-07,WEEKEND,Sunday
1971-02-13,WEEKEND,Saturday
