date,type,description
1990-01-01,CLOSED,New Year's Day
1990-01-06,WEEKEND,Saturday
1990-01-07,WEEKEND,Sunday
1990-01-13,WEEKEND,Saturday
1990-01-14,WEEKEND,Sunday
1990-01-20,WEEKEND,Saturday
1990-01-21,WEEKEND,Sunday
1990-01-27,WEEKEND,Saturday
1990-01-28,WEEKEND,Sunday
1990-02-03,WEEKEND,Saturday
1990-02-04,WEEKEND,Sunday
1990-02-10,WEEKEND,Saturday
1990-02-11,WEEKEND,Sunday
1990-02-17,WEEKEND,Saturday
1990-02-18,WEEKEND,Sunday
1990-02-24,WEEKEND,Saturday
1990-02-25,WEEKEND,Sunday
1990-03-03,WEEKEND,Saturday
1990-03-04,WEEKEND,Sunday
1990-03-10,WEEKEND,Saturday
1990-03-11,WEEKEND,Sunday
1990-03-17,WEEKEND,Saturday
1990-03-18,WEEKEND,Sunday
1990-03-24,WEEKEND,Saturday
1990-03-25,WEEKEND,Sunday
1990-03-31,WEEKEND,Saturday
1990-04-01,WEEKEND,Sunday
1990-04-07,WEEKEND,Saturday
1990-04-08,WEEKEND,Sunday
1990-04-14,WEEKEND,Saturday
1990-04-15,WEEKEND,Sunday
1990-04-21,WEEKEND,Saturday
1990-04-22,WEEKEND,Sunday
1990-04-28,WEEKEND,Saturday
1990-04-29,WEEKEND,Sunday
1990-05-05,WEEKEND,Saturday
1990-05-06,WEEKEND,Sunday
1990-05-12,WEEKEND,Saturday
1990-05-13,WEEKEND,Sunday
1990-05-19,WEEKEND,Saturday
1990-05-20,WEEKEND,Sunday
1990-05-26,WEEKEND,Saturday
1990-05-27,WEEKEND,Sunday
1990-05-28,CLOSED,Memorial Day
1990-06-02,WEEKEND,Saturday
1990-06-03,WEEKEND,Sunday
1990-06-09,WEEKEND,Saturday
1990-06-10,WEEKEND,Sunday
1990-06-16,WEEKEND,Saturday
1990-06-17,WEEKEND,Sunday
1990-06-23,WEEKEND,Saturday
1990-06-24,WEEKEND,Sunday
1990-06-30,WEEKEND,Saturday
1990-07-01,WEEKEND,Sunday
1990-07-04,CLOSED,Independence Day
1990-07-07,WEEKEND,Saturday
1990-07-08,WEEKEND,Sunday
1990-07-14,WEEKEND,Saturday
1990-07-15,WEEKEND,Sunday
1990-07-21,WEEKEND,Saturday
1990-07-22,WEEKEND,Sunday
1990-07-28,WEEKEND,Saturday
1990-07-29,WEEKEND,Sunday
1990-08-04,WEEKEND,Saturday
1990-08-05,WEEKEND,Sunday
1990-08-11,WEEKEND,Saturday
1990-08-12,WEEKEND,Sunday
1990-08-18,WEEKEND,Saturday
1990-08-19,WEEKEND,Sunday
1990-08-25,WEEKEND,Saturday
1990-08-26,WEEKEND,Sunday
1990-09-01,WEEKEND,Saturday
1990-09-02,WEEKEND,Sunday
1990-09-03,CLOSED,Labor Day
1990-09-08,WEEKEND,Saturday
1990-09-09,WEEKEND,Sunday
1990-09-15,WEEKEND,Saturday
1990-09-16,WEEKEND,Sunday
1990-09-22,WEEKEND,Saturday
1990-09-23,WEEKEND,Sunday
1990-09-29,WEEKEND,Saturday
1990-09-30,WEEKEND,Sunday
1990-10-06,WEEKEND,Saturday
1990-10-07,WEEKEND,Sunday
1990-10-13,WEEKEND,Saturday
1990-10-14,WEEKEND,Sunday
1990-10-20,WEEKEND,Saturday
1990-10-21,WEEKEND,Sunday
1990-10-27,WEEKEND,Saturday
1990-10-28,WEEKEND,Sunday
1990-11-03,WEEKEND,Saturday
1990-11-04,WEEKEND,Sunday
1990-11-10,WEEKEND,Saturday
1990-11-11,WEEKEND,Sunday
1990-11-17,WEEKEND,Saturday
1990-11-18,WEEKEND,Sunday
1990-11-22,CLOSED,Thanksgiving Day
1990-11-24,WEEKEND,Saturday
1990-11-25,WEEKEND,Sunday
1990-12-01,WEEKEND,Saturday
1990-12-02,WEEKEND,Sunday
1990-12-08,WEEKEND,Saturday
1990-12-09,WEEKEND,Sunday
1990-12-15,WEEKEND,Saturday
1990-12-16,WEEKEND,Sunday
1990-12-22,WEEKEND,Saturday
1990-12-23,WEEKEND,Sunday
1990-12-25,CLOSED,Christmas Day
1990-12-29,WEEKEND,Saturday
1990-12-30,WEEKEND,Sunday
1991-01-01,CLOSED,New Year's Day
1991-01-05,WEEKEND,Saturday
1991-01-06,WEEKEND,Sunday
1991-01-12,WEEKEND,Saturday
1991-01-13,WEEKEND,Sunday
1991-01-19,WEEKEND,Saturday
1991-01-20,WEEKEND,Sunday
1991-01-26,WEEKEND,Saturday
1991-01-27,WEEKEND,Sunday
