date,type,description
1900-01-01,CLOSED,New Year's Day
1900-01-06,WEEKEND,Saturday
1900-01-07,WEEKEND,Sunday
1900-01-13,WEEKEND,Saturday
1900-01-14,WEEKEND,Sunday
1900-01-20,WEEKEND,Saturday
1900-01-21,WEEKEND,Sunday
1900-01-27,WEEKEND,Saturday
1900-01-28,WEEKEND,Sunday
1900-02-03,WEEKEND,Saturday
1900-02-04,WEEKEND,Sunday
1900-02-10,WEEKEND,Saturday
1900-02-11,WEEKEND,Sunday
1900-02-12,CLOSED,Lincoln's Birthday
1900-02-17,WEEKEND,Saturday
1900-02-18,WEEKEND,Sunday
1900-02-22,CLOSED,Washington's Birthday
1900-02-24,WEEKEND,Saturday
1900-02-25,WEEKEND,Sunday
1900-03-03,WEEKEND,Saturday
1900-03-04,WEEKEND,Sunday
1900-03-10,WEEKEND,Saturday
1900-03-11,WEEKEND,Sunday
1900-03-17,WEEKEND,Saturday
1900-03-18,WEEKEND,Sunday
1900-03-24,WEEKEND,Saturday
1900-03-25,WEEKEND,Sunday
1900-03-31,WEEKEND,Saturday
1900-04-01,WEEKEND,Sunday
1900-04-07,WEEKEND,Saturday
1900-04-08,WEEKEND,Sunday
1900-04-13,CLOSED,Good Friday
1900-04-14,WEEKEND,Saturday
1900-04-15,WEEKEND,Sunday
1900-04-21,WEEKEND,Saturday
1900-04-22,WEEKEND,Sunday
1900-04-28,WEEKEND,Saturday
1900-04-29,WEEKEND,Sunday
1900-05-05,WEEKEND,Saturday
1900-05-06,WEEKEND,Sunday
1900-05-12,WEEKEND,Saturday
1900-05-13,WEEKEND,Sunday
1900-05-19,WEEKEND,Saturday
1900-05-20,WEEKEND,Sunday
1900-05-26,WEEKEND,Saturday
1900-05-27,WEEKEND,Sunday
1900-05-30,CLOSED,Decoration Day
1900-06-02,WEEKEND,Saturday
1900-06-03,WEEKEND,Sunday
1900-06-09,WEEKEND,Saturday
1900-06-10,WEEKEND,Sunday
1900-06-16,WEEKEND,Saturday
1900-06-17,WEEKEND,Sunday
1900-06-23,WEEKEND,Saturday
1900-06-24,WEEKEND,Sunday
1900-06-30,WEEKEND,Saturday
1900-07-01,WEEKEND,Sunday
1900-07-04,CLOSED,Independence Day
1900-07-07,WEEKEND,Saturday
1900-07-08,WEEKEND,Sunday
1900-07-14,WEEKEND,Saturday
1900-07-15,WEEKEND,Sunday
1900-07-21,WEEKEND,Saturday
1900-07-22,WEEKEND,Sunday
1900-07-28,WEEKEND,Saturday
1900-07-29,WEEKEND,Sunday
1900-08-04,WEEKEND,Saturday
1900-08-05,WEEKEND,Sunday
1900-08-11,WEEKEND,Saturday
1900-08-12,WEEKEND,Sunday
1900-08-18,WEEKEND,Saturday
1900-08-19,WEEKEND,Sunday
1900-08-25,WEEKEND,Saturday
1900-08-26,WEEKEND,Sunday
1900-09-01,WEEKEND,Saturday
